
Host: WE41476

Timers On : Wed Nov 24 21:45:48 2021
Timers Off: Wed Nov 24 21:45:51 2021

Wall Time:        2.18 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: initialize()                   :      0.067u      0.017s      0.043w      1 calls
| DFH: AO Construction              :      0.033u      0.000s      0.015w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.017s      0.005w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.050u      0.000s      0.037w      1 calls
| SAD Guess                         :      0.050u      0.000s      0.036w      1 calls
HF: Form G                          :      0.750u      0.017s      0.455w      7 calls
| RV: Form V                        :      0.750u      0.017s      0.447w      7 calls
| | Properties                      :      0.200u      0.000s      0.111w   3136 calls
| | Functional                      :      0.283u      0.000s      0.174w   3136 calls
| | V_xc                            :      0.267u      0.000s      0.148w   3136 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.000u      0.000s      0.007w      7 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.007w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w      7 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.005w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s      0.005w      6 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w      6 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.001w      6 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      6 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      6 calls
| | New vector                      :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.000u      0.000s      0.002w      6 calls

**************************************************************************************

Host: WE41476

Timers On : Wed Nov 24 21:47:12 2021
Timers Off: Wed Nov 24 21:47:14 2021

Wall Time:        1.57 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.033u      0.000s      0.022w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
DFH: initialize()                   :      0.067u      0.017s      0.050w      1 calls
DFH: AO Construction                :      0.033u      0.000s      0.022w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.005w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.067u      0.017s      0.038w      1 calls
SAD Guess                           :      0.067u      0.017s      0.037w      1 calls
HF: Form G                          :      0.750u      0.017s      0.453w      7 calls
RV: Form V                          :      0.750u      0.017s      0.445w      7 calls
Properties                          :      0.317u      0.000s      0.112w   3136 calls
Functional                          :      0.183u      0.000s      0.172w   3136 calls
V_xc                                :      0.233u      0.000s      0.146w   3136 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.000u      0.000s      0.008w      7 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.008w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w      7 calls
DFH: compute_K                      :      0.000u      0.000s      0.005w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s      0.005w      6 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w      6 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w      6 calls
bMatrix setup                       :      0.000u      0.000s      0.000w      6 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w      6 calls
New vector                          :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.000u      0.000s      0.002w      6 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.033u      0.000s      0.022w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
DFH: initialize()                   :      0.067u      0.017s      0.050w      1 calls
| DFH: AO Construction              :      0.033u      0.000s      0.022w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.005w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.067u      0.017s      0.038w      1 calls
| SAD Guess                         :      0.067u      0.017s      0.037w      1 calls
HF: Form G                          :      0.750u      0.017s      0.453w      7 calls
| RV: Form V                        :      0.750u      0.017s      0.445w      7 calls
| | Properties                      :      0.317u      0.000s      0.112w   3136 calls
| | Functional                      :      0.183u      0.000s      0.172w   3136 calls
| | V_xc                            :      0.233u      0.000s      0.146w   3136 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.000u      0.000s      0.008w      7 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.008w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w      7 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.005w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s      0.005w      6 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w      6 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.001w      6 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      6 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      6 calls
| | New vector                      :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.000u      0.000s      0.002w      6 calls

**************************************************************************************

Host: WE41476

Timers On : Wed Nov 24 21:47:48 2021
Timers Off: Wed Nov 24 21:47:49 2021

Wall Time:        1.59 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.033u      0.000s      0.021w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
DFH: initialize()                   :      0.067u      0.017s      0.042w      1 calls
DFH: AO Construction                :      0.033u      0.000s      0.015w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.017s      0.005w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.067u      0.000s      0.037w      1 calls
SAD Guess                           :      0.067u      0.000s      0.036w      1 calls
HF: Form G                          :      0.767u      0.017s      0.467w      7 calls
RV: Form V                          :      0.750u      0.017s      0.459w      7 calls
Properties                          :      0.150u      0.000s      0.117w   3136 calls
Functional                          :      0.383u      0.000s      0.177w   3136 calls
V_xc                                :      0.200u      0.000s      0.151w   3136 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.017u      0.000s      0.007w      7 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.007w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.017u      0.000s      0.002w      7 calls
DFH: compute_K                      :      0.000u      0.000s      0.005w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s      0.005w      6 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w      6 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w      6 calls
bMatrix setup                       :      0.000u      0.000s      0.000w      6 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w      6 calls
New vector                          :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.000u      0.000s      0.002w      6 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.033u      0.000s      0.021w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
DFH: initialize()                   :      0.067u      0.017s      0.042w      1 calls
| DFH: AO Construction              :      0.033u      0.000s      0.015w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.017s      0.005w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.067u      0.000s      0.037w      1 calls
| SAD Guess                         :      0.067u      0.000s      0.036w      1 calls
HF: Form G                          :      0.767u      0.017s      0.467w      7 calls
| RV: Form V                        :      0.750u      0.017s      0.459w      7 calls
| | Properties                      :      0.150u      0.000s      0.117w   3136 calls
| | Functional                      :      0.383u      0.000s      0.177w   3136 calls
| | V_xc                            :      0.200u      0.000s      0.151w   3136 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.017u      0.000s      0.007w      7 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.007w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.002w      7 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.005w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s      0.005w      6 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w      6 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.001w      6 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      6 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      6 calls
| | New vector                      :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.000u      0.000s      0.002w      6 calls

**************************************************************************************

Host: WE41476

Timers On : Wed Nov 24 21:48:51 2021
Timers Off: Wed Nov 24 21:48:52 2021

Wall Time:        1.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.033u      0.000s      0.021w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
DFH: initialize()                   :      0.067u      0.000s      0.041w      1 calls
DFH: AO Construction                :      0.017u      0.000s      0.014w      1 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.005w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.050u      0.017s      0.037w      1 calls
SAD Guess                           :      0.050u      0.017s      0.036w      1 calls
HF: Form G                          :      0.767u      0.017s      0.459w      7 calls
RV: Form V                          :      0.750u      0.017s      0.450w      7 calls
Properties                          :      0.117u      0.000s      0.113w   3136 calls
Functional                          :      0.250u      0.000s      0.175w   3136 calls
V_xc                                :      0.350u      0.017s      0.148w   3136 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.017u      0.000s      0.008w      7 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.008w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.000u      0.000s      0.003w      7 calls
DFH: compute_K                      :      0.017u      0.000s      0.005w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s      0.005w      6 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w      6 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w      6 calls
bMatrix setup                       :      0.000u      0.000s      0.000w      6 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w      6 calls
New vector                          :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.000u      0.000s      0.002w      6 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.033u      0.000s      0.021w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
DFH: initialize()                   :      0.067u      0.000s      0.041w      1 calls
| DFH: AO Construction              :      0.017u      0.000s      0.014w      1 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.005w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.050u      0.017s      0.037w      1 calls
| SAD Guess                         :      0.050u      0.017s      0.036w      1 calls
HF: Form G                          :      0.767u      0.017s      0.459w      7 calls
| RV: Form V                        :      0.750u      0.017s      0.450w      7 calls
| | Properties                      :      0.117u      0.000s      0.113w   3136 calls
| | Functional                      :      0.250u      0.000s      0.175w   3136 calls
| | V_xc                            :      0.350u      0.017s      0.148w   3136 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.017u      0.000s      0.008w      7 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.008w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.003w      7 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.005w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s      0.005w      6 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w      6 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.001w      6 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      6 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      6 calls
| | New vector                      :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.000u      0.000s      0.002w      6 calls

**************************************************************************************

Host: WE41476

Timers On : Wed Nov 24 21:49:42 2021
Timers Off: Wed Nov 24 21:49:44 2021

Wall Time:        1.63 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.033u      0.000s      0.021w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
DFH: initialize()                   :      0.050u      0.000s      0.043w      1 calls
DFH: AO Construction                :      0.033u      0.000s      0.015w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.005w      1 calls
HF: Form core H                     :      0.000u      0.017s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.067u      0.000s      0.038w      1 calls
SAD Guess                           :      0.067u      0.000s      0.037w      1 calls
HF: Form G                          :      0.750u      0.000s      0.460w      7 calls
RV: Form V                          :      0.733u      0.000s      0.452w      7 calls
Properties                          :      0.133u      0.000s      0.115w   3136 calls
Functional                          :      0.350u      0.000s      0.174w   3136 calls
V_xc                                :      0.217u      0.000s      0.149w   3136 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.017u      0.000s      0.007w      7 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.007w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.017u      0.000s      0.002w      7 calls
DFH: compute_K                      :      0.000u      0.000s      0.005w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.017s      0.005w      6 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w      6 calls
DIISManager::extrapolate            :      0.000u      0.017s      0.001w      6 calls
bMatrix setup                       :      0.000u      0.017s      0.000w      6 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w      6 calls
New vector                          :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.000u      0.000s      0.002w      6 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.033u      0.000s      0.021w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
DFH: initialize()                   :      0.050u      0.000s      0.043w      1 calls
| DFH: AO Construction              :      0.033u      0.000s      0.015w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.005w      1 calls
HF: Form core H                     :      0.000u      0.017s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.067u      0.000s      0.038w      1 calls
| SAD Guess                         :      0.067u      0.000s      0.037w      1 calls
HF: Form G                          :      0.750u      0.000s      0.460w      7 calls
| RV: Form V                        :      0.733u      0.000s      0.452w      7 calls
| | Properties                      :      0.133u      0.000s      0.115w   3136 calls
| | Functional                      :      0.350u      0.000s      0.174w   3136 calls
| | V_xc                            :      0.217u      0.000s      0.149w   3136 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.017u      0.000s      0.007w      7 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.007w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.002w      7 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.005w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.017s      0.005w      6 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w      6 calls
| DIISManager::extrapolate          :      0.000u      0.017s      0.001w      6 calls
| | bMatrix setup                   :      0.000u      0.017s      0.000w      6 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      6 calls
| | New vector                      :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.000u      0.000s      0.002w      6 calls

**************************************************************************************

Host: WE41476

Timers On : Wed Nov 24 21:56:19 2021
Timers Off: Wed Nov 24 21:56:20 2021

Wall Time:        1.64 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.033u      0.000s      0.022w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.010w      1 calls
DFH: initialize()                   :      0.050u      0.017s      0.041w      1 calls
DFH: AO Construction                :      0.017u      0.000s      0.015w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.017s      0.006w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.067u      0.000s      0.038w      1 calls
SAD Guess                           :      0.050u      0.000s      0.037w      1 calls
HF: Form G                          :      0.767u      0.033s      0.479w      7 calls
RV: Form V                          :      0.767u      0.033s      0.471w      7 calls
Properties                          :      0.183u      0.000s      0.120w   3136 calls
Functional                          :      0.333u      0.017s      0.181w   3136 calls
V_xc                                :      0.250u      0.000s      0.155w   3136 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.000u      0.000s      0.008w      7 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.008w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.000u      0.000s      0.003w      7 calls
DFH: compute_K                      :      0.000u      0.000s      0.005w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s      0.005w      6 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w      6 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w      6 calls
bMatrix setup                       :      0.000u      0.000s      0.000w      6 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w      6 calls
New vector                          :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.000u      0.000s      0.002w      6 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.033u      0.000s      0.022w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.010w      1 calls
DFH: initialize()                   :      0.050u      0.017s      0.041w      1 calls
| DFH: AO Construction              :      0.017u      0.000s      0.015w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.017s      0.006w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
